id,name,vendor,url,price,date
1,TCMMRC-Dron de carreras de estilo libre UR26 Mermaid 220,aliexpress,https://es.aliexpress.com/item/1005003798923273.html?spm=a2g0o.detail.1000060.1.3b6873d7zSoutl&gps-id=pcDetailBottomMoreThisSeller&scm=1007.13339.274681.0&scm_id=1007.13339.274681.0&scm-url=1007.13339.274681.0&pvid=23328ee6-19c7-48fb-a99a-fcedd6f3a494&_t=gps-id%3ApcDetailBottomMoreThisSeller%2Cscm-url%3A1007.13339.274681.0%2Cpvid%3A23328ee6-19c7-48fb-a99a-fcedd6f3a494%2Ctpp_buckets%3A668%232846%238108%231977&pdp_ext_f=%7B%22sku_id%22%3A%2212000027205847571%22%2C%22sceneId%22%3A%223339%22%7D&pdp_npi=2%40dis%21EUR%21%21103.73%21%21%21%21%21%40211b5e2516535145379694516eda1a%2112000027205847571%21rec&gatewayAdapt=glo2esp,"€ 10830",14/8/2022
2,Gigastone 128GB Tarjeta de Memoria Micro SDGaming Plus,amazon,https://www.amazon.es/Gigastone-Adaptador-Rendimiento-Proporcionar-Disponible/dp/B07N7D2WBF/ref=asc_df_B07N7D2WBF/?tag=googshopes-21&linkCode=df0&hvadid=420347718938&hvpos=&hvnetw=g&hvrand=10512639839981196803&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9047045&hvtargid=pla-687693344543&psc=1&tag=&ref=&adgrpid=98816270049&hvpone=&hvptwo=&hvadid=420347718938&hvpos=&hvnetw=g&hvrand=10512639839981196803&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9047045&hvtargid=pla-687693344543,"1998€",14/8/2022
3,sudadesra,nike,https://www.nike.com/es/t/park-sudadera-con-capucha-de-futbol-de-tejido-fleece-con-cremallera-completa-Dz9jPk/CW6887-451?CP=EUNS_AFF_AWIN_ES_366697_httpchollometrocom_174483&utm_source=httpchollometrocom&utm_medium=affiliate&utm_campaign=366697&utm_content=174483&awc=16336_1660470861_3338ca0247f690a1bf6ee77859ed77f3,3,42
